"מועדון","שם","מפתח","סוג","ממצא","פירוט","עונות במאגר","עונות ויקיפדיה","עונות התאחדות","עונות worldfootball","עמדה מאגר","עמדה ויקיפדיה","עמדה wf","לידה מאגר","לידה ויקיפדיה","לידה wf","תיקון מוצע"
"ביתרdle","ארצי בן יעקב","","עונות","המאגר קצר מדי","חסרות 68/69-69/70, 71/72-74/75","70/71","68/69-74/75","-","-","FW","MF","","1946","1946","","""ארצי בן יעקב"": { ""spells"": [[1969,1975]] }"
"ביתרdle","ארצי בן יעקב","","עמדה","סתירה","מאגר: FW · ויקיפדיה: MF","70/71","68/69-74/75","-","-","FW","MF","","1946","1946","",""
"ביתרdle","דני נוימן","","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 82/83 — ייתכן שאלה עונות השאלה","71/72-79/80, 82/83-83/84","71/72-79/80, 83/84","-","-","MF","MF","","1955","1955","",""
"ביתרdle","אורי מלמיליאן","","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 89/90 — ייתכן שאלה עונות השאלה","73/74-89/90","73/74-88/89","-","-","MF","MF","","1957","1957","",""
"ביתרdle","שלמה כירת","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","77/78","-","-","-","DF","","","1954","","",""
"ביתרdle","אבי כהן","","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 79/80-80/81 — ייתכן שאלה עונות השאלה","79/80-84/85, 86/87-88/89","81/82-84/85, 86/87-88/89","-","-","DF","DF","","1962","1962","",""
"ביתרdle","יעקב שוורץ","","עונות","המאגר קצר מדי","חסרות 82/83","83/84-93/94","82/83-93/94","-","-","MF","MF","","1964","1964","","""יעקב שוורץ"": { ""spells"": [[1983,1994]] }"
"ביתרdle","מאיר קדוש","","עמדה","סתירה","מאגר: MF · ויקיפדיה: DF","84/85-94/95","84/85-94/95","-","-","MF","DF","","1965","1965","",""
"ביתרdle","שלמה שירזי","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","84/85-88/89","-","-","-","DF","DF","","1960","1960","",""
"ביתרdle","אופיר שמואלי","","עונות","סתירה","ויקיפדיה מוסיפה 93/94-95/96 · המאגר מוסיף 91/92","86/87-91/92","86/87-90/91, 93/94-95/96","-","-","DF","DF","","1966","1966","",""
"ביתרdle","יעקב בוזגלו","","עמדה","סתירה","מאגר: FW · ויקיפדיה: MF","86/87","86/87","-","-","FW","MF","","1957","1957","",""
"ביתרdle","משה סלקטר","","עמדה","סתירה","מאגר: MF · ויקיפדיה: FW","87/88","87/88","-","-","MF","FW","","1961","1961","",""
"ביתרdle","איתן מזרחי","28790","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 88/89 — ייתכן שאלה עונות השאלה","88/89-02/03","89/90-02/03","02/03","-","DF","DF","","1972","1972","",""
"ביתרdle","אטאנס פשב","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","89/90","-","-","-","MF","","","1963","","",""
"ביתרdle","גורם אדז'ואב","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","89/90","-","-","-","DF","","","1961","","",""
"ביתרdle","יורי טרסוב","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","90/91","-","-","-","FW","","","1960","","",""
"ביתרdle","ולדימיר גרצ'נב","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","92/93-93/94","-","-","-","MF","","","1964","","",""
"ביתרdle","אהוד כחילה","33040","עונות","המאגר קצר מדי","חסרות 91/92-92/93, 99/00","93/94-97/98, 02/03","91/92-97/98, 99/00, 02/03","02/03","-","DF","DF","","1968","1968","","""33040"": { ""spells"": [[1992,1998],[2000,2000],[2003,2003]] }"
"ביתרdle","אולג קושלוק","","עונות","סתירה","ויקיפדיה מוסיפה 94/95 · המאגר מוסיף 93/94","93/94","94/95","-","-","MF","MF","","1969","1969","",""
"ביתרdle","אילן אלהרר","","עונות","המאגר קצר מדי","חסרות 87/88-89/90, 92/93","93/94-95/96","87/88-89/90, 92/93-95/96","-","-","DF","DF","","1970","1970","","""אילן אלהרר"": { ""spells"": [[1988,1990],[1993,1996]] }"
"ביתרdle","יהיב כרדי","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","93/94-94/95","-","-","-","DF","","","","","",""
"ביתרdle","יהיב כרדי","","שנת לידה","אין בשום מקור","","93/94-94/95","-","-","-","DF","","","","","",""
"ביתרdle","יובל מימון","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","93/94","-","-","-","DF","","","","","",""
"ביתרdle","יובל מימון","","שנת לידה","אין בשום מקור","","93/94","-","-","-","DF","","","","","",""
"ביתרdle","מאיר סלמי","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","93/94-94/95","-","-","-","MF","","","","","",""
"ביתרdle","מאיר סלמי","","שנת לידה","אין בשום מקור","","93/94-94/95","-","-","-","MF","","","","","",""
"ביתרdle","ניר לוין","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","93/94","-","-","-","FW","","","1962","","",""
"ביתרdle","רונן שוויג","","עונות","המאגר קצר מדי","חסרות 86/87-92/93, 94/95-95/96, 97/98-99/00","93/94, 96/97","86/87-99/00","-","-","FW","MF","","1969","1969","","""רונן שוויג"": { ""spells"": [[1987,2000]] }"
"ביתרdle","רונן שוויג","","עמדה","סתירה","מאגר: FW · ויקיפדיה: MF","93/94, 96/97","86/87-99/00","-","-","FW","MF","","1969","1969","",""
"ביתרdle","רענן דרעי","28780","עונות","סתירה","ויקיפדיה מוסיפה 92/93 · המאגר מוסיף 04/05-05/06","93/94-05/06","92/93-03/04","02/03-03/04","-","DF","MF","","1976","1976","",""
"ביתרdle","רענן דרעי","28780","עמדה","סתירה","מאגר: DF · ויקיפדיה: MF","93/94-05/06","92/93-03/04","02/03-03/04","-","DF","MF","","1976","1976","",""
"ביתרdle","תומר אזולאי","","עונות","המאגר קצר מדי","חסרות 92/93","93/94-01/02","92/93-01/02","-","-","DF","DF","","1974","1974","","""תומר אזולאי"": { ""spells"": [[1993,2002]] }"
"ביתרdle","א. ואזנה","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","94/95","-","-","-","MF","","","","","",""
"ביתרdle","א. ואזנה","","שנת לידה","אין בשום מקור","","94/95","-","-","-","MF","","","","","",""
"ביתרdle","אייל כהן","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","94/95","-","-","-","DF","","","","","",""
"ביתרdle","אייל כהן","","שנת לידה","אין בשום מקור","","94/95","-","-","-","DF","","","","","",""
"ביתרdle","אריק בנדו","","זהות","שני ערכים באותו שם","בוויקיפדיה יש יותר מערך אחד בשם הזה — אין תיקון אוטומטי","94/95-95/96, 06/07-09/10","94/95-95/96, 06/07-09/10","-","-","DF","","","1973","","",""
"ביתרdle","דוד כסלסי","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","94/95","-","-","-","FW","","","","","",""
