"מועדון","שם","מפתח","רמה","סיכון","מקורות","כמה","עמדה","לאום","לידה","עונות","תקופה","תארים","בבריכה","חידה מספר","מועדונים בערך האנגלי"
"ביתרdle","חיים לוין","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור","4","GK","IL","1937","2","69/70-70/71","0","","",""
"ביתרdle","ארצי בן יעקב","","מאושר","","קטגוריה · קריירה-עברית · הגרסה שבייצור","2","FW","IL","1946","1","70/71","0","","",""
"ביתרdle","דני נוימן","","מאושר","","קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","4","MF","IL","1955","11","71/72-79/80, 82/83-83/84","2","כן","1",""
"ביתרdle","יוסף סורינוב","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור","4","GK","IL","1946","4","71/72-74/75","0","כן","38",""
"ביתרdle","אורי מלמיליאן","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","IL","1957","17","73/74-89/90","6","כן","94",""
"ביתרdle","יוסי אברהמי","","מאושר","","קטגוריה · קריירה-עברית · הגרסה שבייצור","2","FW","IL","1957","10","74/75-83/84","2","כן","72",""
"ביתרdle","יוסי מזרחי","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","GK","IL","1953","14","74/75-87/88","5","כן","35",""
"ביתרdle","דוד קרקו","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור","4","DF","IL","1945","1","75/76","1","","",""
"ביתרdle","אברהם לב","","מאושר","","קטגוריה · קריירה-עברית · הגרסה שבייצור","2","DF","IL","1948","1","76/77","0","","",""
"ביתרdle","שלמה כירת","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור","2","DF","IL","1954","1","77/78","0","","",""
"ביתרdle","אבי כהן","","מאושר","","קטגוריה · קריירה-עברית · הגרסה שבייצור","2","DF","IL","1962","9","79/80-84/85, 86/87-88/89","3","כן","17",""
"ביתרdle","אלי אוחנה","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","FW","IL","1964","15","80/81-86/87, 91/92-98/99","6","כן","85",""
"ביתרdle","יעקב שוורץ","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור","4","MF","IL","1964","11","83/84-93/94","5","כן","50",""
